@relation Sentences

@attribute adjetives real
@attribute verbs real
@attribute clasificacion {positivo, negativo, neutral}

@data
1, 4, positivo
0, -3, negativo
0, 0, neutral
0, 0, neutral
-1, -4, negativo
-1, 0, negativo
0, 0, neutral
0, 0, neutral
0, 0, neutral
0, 0, neutral
0, 0, neutral
0, 0, neutral
0, -5, negativo
0, -4, negativo
0, 4, positivo
0, 0, neutral
0, -2, negativo
0, 0, neutral
3, 0, positivo
0, -2, negativo
0, -2, negativo
0, 0, neutral
0, 0, neutral
0, 2, positivo
0, 2, positivo
0, 0, neutral
0, 0, neutral
0, 2, positivo
0, 0, neutral
0, -4, negativo
1, 5, positivo
0, -2, negativo
0, 2, positivo
0, 2, positivo
2, 0, positivo
0, 0, neutral
-1, -2, negativo
0, 0, neutral
0, 0, neutral
0, -2, negativo
0, 0, neutral
0, -2, negativo
0, 0, neutral
0, 0, neutral
0, 2, positivo
0, 0, neutral
2, 0, positivo
0, 2, positivo
0, 0, neutral
0, -2, negativo
0, 2, positivo
0, 0, neutral
-1, 0, negativo
0, -2, negativo
0, 0, neutral
0, 0, neutral
0, 2, positivo
0, 0, neutral
0, 0, neutral
0, -2, negativo
-1, 0, negativo
3, -2, positivo
0, 0, neutral
1, 0, positivo
0, 4, positivo
0, 0, neutral
0, 4, positivo
0, 0, neutral
1, 2, positivo
2, 0, positivo
0, 0, neutral
0, 0, neutral
0, -2, negativo
0, 0, neutral
0, 0, neutral
0, -6, negativo
0, 0, neutral
0, -2, negativo
0, 0, neutral
0, 0, neutral
0, -2, negativo
0, 2, positivo
0, -2, negativo
0, 2, positivo
0, 0, neutral
0, 0, neutral
-1, -4, negativo
0, 4, positivo
0, -3, negativo
0, 2, positivo
0, 0, neutral
0, 0, neutral
0, 2, positivo
0, 0, neutral
0, 2, positivo
0, 0, neutral
0, -2, negativo
0, 0, neutral
2, 0, positivo
0, -5, negativo
-1, 0, negativo
0, 2, positivo
0, 0, neutral
0, 0, neutral
0, 0, neutral
-1, -4, negativo
0, 2, positivo
0, 2, positivo
0, 2, positivo
0, 0, neutral
1, -4, negativo
0, 2, positivo
0, 0, neutral
0, 0, neutral
-1, 2, positivo
0, 0, neutral
0, 2, positivo
0, 0, neutral
0, 2, positivo
0, 6, positivo
-1, 4, positivo
1, 0, positivo
1, -2, negativo
0, 0, neutral
0, 0, neutral
0, -2, negativo
0, 0, neutral
0, 0, neutral
0, 0, neutral
0, 0, neutral
0, -2, negativo
0, 0, neutral
1, 0, positivo
0, 0, neutral
-4, 4, neutral
0, -2, negativo
0, 0, neutral
2, 4, positivo
0, 0, neutral
0, 2, positivo
-4, 0, negativo
0, 0, neutral
0, 0, neutral
0, -2, negativo
0, 0, neutral
0, 0, neutral
0, 0, neutral
0, 2, positivo
0, -3, negativo
0, 2, positivo
0, 0, neutral
0, 2, positivo
0, -2, negativo
0, 0, neutral
0, 0, neutral
0, 0, neutral
0, 0, neutral
0, 0, neutral
0, -2, negativo
0, 0, neutral
0, 0, neutral
0, 0, neutral
0, -3, negativo
0, 2, positivo
0, 0, neutral
0, 0, neutral
0, 0, neutral
0, 0, neutral
0, -2, negativo
0, 2, positivo
0, 0, neutral
0, 2, positivo
0, 0, neutral
0, 2, positivo
0, 2, positivo
0, 2, positivo
0, 2, positivo
0, 0, neutral
0, 0, neutral
0, -2, negativo
0, -3, negativo
1, -2, negativo
0, 2, positivo
1, 6, positivo
0, 2, positivo
0, 0, neutral
0, 2, positivo
0, 4, positivo
0, 0, neutral
0, 0, neutral
0, -2, negativo
-2, 0, negativo
0, 0, neutral
0, -2, negativo
0, 0, neutral
0, 0, neutral
0, 2, positivo
0, 2, positivo
-1, 0, negativo
0, 2, positivo
0, 0, neutral
0, -1, negativo
0, 0, neutral
0, 0, neutral
0, 0, neutral
0, -2, negativo
0, 0, neutral
0, 0, neutral
1, 2, positivo
0, -2, negativo
0, 0, neutral
0, 0, neutral
0, 2, positivo
0, -2, negativo
0, 2, positivo
0, 0, neutral
0, 0, neutral
0, 0, neutral
0, 0, neutral
0, 0, neutral
0, 2, positivo
0, 0, neutral
0, 4, positivo
0, 0, neutral
0, 0, neutral
0, -2, negativo
0, 4, positivo
0, 2, positivo
0, 0, neutral
0, 0, neutral
0, 0, neutral
-1, 4, positivo
0, 0, neutral
0, -2, negativo
0, 0, neutral
0, 2, positivo
0, 0, neutral
0, 2, positivo
0, 0, neutral
0, 0, neutral
0, 0, neutral
-1, 0, negativo
-1, 2, positivo
-2, 0, negativo
0, -2, negativo
0, 0, neutral
0, 0, neutral
0, 0, neutral
0, 3, positivo
0, 2, positivo
0, 4, positivo
0, 0, neutral
0, -2, negativo
0, 2, positivo
0, -2, negativo
0, 0, neutral
0, 2, positivo
1, 2, positivo
0, -2, negativo
0, -2, negativo
0, 0, neutral
0, -2, negativo
0, -5, negativo
0, 2, positivo
0, 0, neutral
0, 2, positivo
0, 0, neutral
0, 0, neutral
0, 1, positivo
0, 0, neutral
0, 0, neutral
1, 0, positivo
0, 2, positivo
0, 3, positivo
0, 2, positivo
-1, 0, negativo
0, -2, negativo
0, 2, positivo
0, 0, neutral
0, 4, positivo
-1, 0, negativo
0, 0, neutral
0, 2, positivo
0, 2, positivo
0, 0, neutral
0, 0, neutral
0, 0, neutral
0, 0, neutral
0, 0, neutral
0, 2, positivo
1, -2, negativo
0, -2, negativo
1, 0, positivo
0, -4, negativo
0, 0, neutral
-1, 0, negativo
0, -4, negativo
0, 0, neutral
1, -2, negativo
0, 0, neutral
0, 2, positivo
0, 0, neutral
0, -3, negativo
-1, 0, negativo
0, -1, negativo
0, 4, positivo
0, 0, neutral
0, 2, positivo
0, -2, negativo
0, 0, neutral
0, -2, negativo
0, -4, negativo
0, 2, positivo
0, 0, neutral
0, 0, neutral
0, -2, negativo
0, 0, neutral
1, -2, negativo
0, 0, neutral
0, 0, neutral
0, -2, negativo
-4, 2, negativo
0, 0, neutral
-2, 0, negativo
0, -2, negativo
0, 4, positivo
0, -6, negativo
0, 0, neutral
0, 2, positivo
-1, -2, negativo
0, -2, negativo
0, 0, neutral
0, 0, neutral
0, 0, neutral
0, 0, neutral
0, 0, neutral
0, 0, neutral
0, -2, negativo
0, 0, neutral
0, 4, positivo
0, -2, negativo
0, 0, neutral
0, 6, positivo
0, -4, negativo
0, 0, neutral
0, 2, positivo
-1, 2, positivo
-1, 0, negativo
-1, 0, negativo
0, -4, negativo
0, 0, neutral
0, 2, positivo
0, 0, neutral
0, 0, neutral
0, 0, neutral
0, -4, negativo
0, 4, positivo
0, 2, positivo
0, 0, neutral
0, 2, positivo
0, 0, neutral
0, 0, neutral
0, 0, neutral
0, -3, negativo
0, 0, neutral
0, 2, positivo
0, 2, positivo
-1, -4, negativo
0, 0, neutral
0, -2, negativo
0, 0, neutral
0, -2, negativo
0, 0, neutral
0, 0, neutral
0, 0, neutral
0, 0, neutral
0, 2, positivo
0, 0, neutral
0, 0, neutral
0, 0, neutral
0, 0, neutral
0, 0, neutral
0, 0, neutral
0, 0, neutral
0, 0, neutral
0, 2, positivo
0, 2, positivo
1, 0, positivo
